no change     /proj/gaia/RayDT/mamba_ray/condabin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda-env
no change     /proj/gaia/RayDT/mamba_ray/bin/activate
no change     /proj/gaia/RayDT/mamba_ray/bin/deactivate
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.sh
no change     /proj/gaia/RayDT/mamba_ray/etc/fish/conf.d/conda.fish
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/Conda.psm1
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/conda-hook.ps1
no change     /proj/gaia/RayDT/mamba_ray/lib/python3.10/site-packages/xontrib/conda.xsh
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.csh
no change     /home/x_yifji/.bashrc
No action taken.
config =  {'env_index': 2, 'Tx_id': 1, 'allTx': True, 'Rx_id': None, 'Rx1_id': None, 'Rx2_id': None, 'debug_path_flag': False, 'path_id': 6, 'add_noise': False, 'optim_load': False, 'small_batch': False, 'big_batch': False, 'debug': False, 'produce_fig': False, 'wandb': True, 'replot_baseline_only': False, 'test_seed': 42, 'eval_from': None, 'Ofunc': False, 'noise_sample': 5, 'path': None, 'data_prefix': 'allTx', 'data_postfix': '', 'gen_func': <function gen_data_sample_across_rx at 0x151b1e49b010>}
========== Training config ==========
Found matching repo: allTx_HFds__noise_noise_5__20240607_123136_obj_2
========== Training Data is loaded ==========
========== Model is initialized ==========
{'loss': -3.0013, 'learning_rate': 8.051679586563308e-05, 'epoch': 137.67}
{'loss': -2.9948, 'learning_rate': 8.031007751937984e-05, 'epoch': 138.6}
{'loss': -2.9994, 'learning_rate': 8.010335917312663e-05, 'epoch': 139.53}
{'loss': -3.0096, 'learning_rate': 7.989664082687339e-05, 'epoch': 140.47}
{'loss': -3.0253, 'learning_rate': 7.968992248062016e-05, 'epoch': 141.4}
{'loss': -3.0312, 'learning_rate': 7.948320413436693e-05, 'epoch': 142.33}
{'loss': -3.0302, 'learning_rate': 7.927648578811369e-05, 'epoch': 143.26}
{'loss': -3.0315, 'learning_rate': 7.906976744186047e-05, 'epoch': 144.19}
{'loss': -3.034, 'learning_rate': 7.886304909560724e-05, 'epoch': 145.12}
{'loss': -3.0386, 'learning_rate': 7.865633074935401e-05, 'epoch': 146.05}
{'loss': -3.0452, 'learning_rate': 7.844961240310079e-05, 'epoch': 146.98}
{'loss': -3.0492, 'learning_rate': 7.824289405684755e-05, 'epoch': 147.91}
{'loss': -3.055, 'learning_rate': 7.803617571059432e-05, 'epoch': 148.84}
{'loss': -3.059, 'learning_rate': 7.782945736434109e-05, 'epoch': 149.77}
{'loss': -3.0628, 'learning_rate': 7.762273901808786e-05, 'epoch': 150.7}
{'loss': -3.0635, 'learning_rate': 7.741602067183464e-05, 'epoch': 151.63}
{'loss': -3.0682, 'learning_rate': 7.72093023255814e-05, 'epoch': 152.56}
{'loss': -3.0667, 'learning_rate': 7.700258397932817e-05, 'epoch': 153.49}
{'loss': -3.0724, 'learning_rate': 7.679586563307493e-05, 'epoch': 154.42}
{'loss': -3.0802, 'learning_rate': 7.65891472868217e-05, 'epoch': 155.35}
{'loss': -3.0817, 'learning_rate': 7.638242894056849e-05, 'epoch': 156.28}
{'loss': -3.0876, 'learning_rate': 7.617571059431525e-05, 'epoch': 157.21}
{'loss': -3.0884, 'learning_rate': 7.596899224806202e-05, 'epoch': 158.14}
{'loss': -3.0964, 'learning_rate': 7.576227390180878e-05, 'epoch': 159.07}
{'loss': -3.0948, 'learning_rate': 7.555555555555556e-05, 'epoch': 160.0}
{'loss': -3.0978, 'learning_rate': 7.534883720930233e-05, 'epoch': 160.93}
{'loss': -3.106, 'learning_rate': 7.51421188630491e-05, 'epoch': 161.86}
{'loss': -3.1092, 'learning_rate': 7.493540051679588e-05, 'epoch': 162.79}
{'loss': -3.1121, 'learning_rate': 7.472868217054264e-05, 'epoch': 163.72}
{'loss': -3.1153, 'learning_rate': 7.452196382428941e-05, 'epoch': 164.65}
{'loss': -3.1163, 'learning_rate': 7.431524547803618e-05, 'epoch': 165.58}
{'loss': -3.1046, 'learning_rate': 7.410852713178294e-05, 'epoch': 166.51}
{'loss': -3.124, 'learning_rate': 7.390180878552973e-05, 'epoch': 167.44}
{'loss': -3.1279, 'learning_rate': 7.369509043927649e-05, 'epoch': 168.37}
{'loss': -3.1339, 'learning_rate': 7.348837209302326e-05, 'epoch': 169.3}
{'loss': -3.1334, 'learning_rate': 7.328165374677003e-05, 'epoch': 170.23}
{'loss': -3.1387, 'learning_rate': 7.30749354005168e-05, 'epoch': 171.16}
{'loss': -3.1382, 'learning_rate': 7.286821705426357e-05, 'epoch': 172.09}
{'loss': -3.1442, 'learning_rate': 7.266149870801034e-05, 'epoch': 173.02}
{'loss': -3.1452, 'learning_rate': 7.245478036175711e-05, 'epoch': 173.95}
{'loss': -3.15, 'learning_rate': 7.224806201550389e-05, 'epoch': 174.88}
{'loss': -3.1472, 'learning_rate': 7.204134366925065e-05, 'epoch': 175.81}
{'loss': -3.1533, 'learning_rate': 7.183462532299742e-05, 'epoch': 176.74}
{'loss': -3.1508, 'learning_rate': 7.162790697674418e-05, 'epoch': 177.67}
{'loss': -3.1573, 'learning_rate': 7.142118863049097e-05, 'epoch': 178.6}
{'loss': -3.1576, 'learning_rate': 7.121447028423773e-05, 'epoch': 179.53}
{'loss': -3.1685, 'learning_rate': 7.10077519379845e-05, 'epoch': 180.47}
{'loss': -3.1688, 'learning_rate': 7.080103359173127e-05, 'epoch': 181.4}
{'loss': -3.1744, 'learning_rate': 7.059431524547803e-05, 'epoch': 182.33}
{'loss': -3.172, 'learning_rate': 7.03875968992248e-05, 'epoch': 183.26}
{'loss': -3.1784, 'learning_rate': 7.018087855297158e-05, 'epoch': 184.19}
{'loss': -3.1779, 'learning_rate': 6.997416020671835e-05, 'epoch': 185.12}
{'loss': -3.1849, 'learning_rate': 6.976744186046513e-05, 'epoch': 186.05}
{'loss': -3.1858, 'learning_rate': 6.956072351421189e-05, 'epoch': 186.98}
{'loss': -3.1863, 'learning_rate': 6.935400516795866e-05, 'epoch': 187.91}
{'loss': -3.19, 'learning_rate': 6.914728682170543e-05, 'epoch': 188.84}
{'loss': -3.1936, 'learning_rate': 6.89405684754522e-05, 'epoch': 189.77}
{'loss': -3.1954, 'learning_rate': 6.873385012919898e-05, 'epoch': 190.7}
{'loss': -3.197, 'learning_rate': 6.852713178294574e-05, 'epoch': 191.63}
{'loss': -3.2039, 'learning_rate': 6.832041343669251e-05, 'epoch': 192.56}
{'loss': -3.1991, 'learning_rate': 6.811369509043928e-05, 'epoch': 193.49}
{'loss': -3.207, 'learning_rate': 6.790697674418604e-05, 'epoch': 194.42}
{'loss': -3.2064, 'learning_rate': 6.770025839793283e-05, 'epoch': 195.35}
{'loss': -3.2106, 'learning_rate': 6.749354005167959e-05, 'epoch': 196.28}
{'loss': -3.2098, 'learning_rate': 6.728682170542636e-05, 'epoch': 197.21}
{'loss': -3.2228, 'learning_rate': 6.708010335917312e-05, 'epoch': 198.14}
{'loss': -3.2254, 'learning_rate': 6.68733850129199e-05, 'epoch': 199.07}
{'loss': -3.2277, 'learning_rate': 6.666666666666667e-05, 'epoch': 200.0}
{'loss': -3.226, 'learning_rate': 6.645994832041343e-05, 'epoch': 200.93}
{'loss': -3.2238, 'learning_rate': 6.625322997416022e-05, 'epoch': 201.86}
{'loss': -3.232, 'learning_rate': 6.604651162790698e-05, 'epoch': 202.79}
{'loss': -3.2335, 'learning_rate': 6.583979328165375e-05, 'epoch': 203.72}
{'loss': -3.2346, 'learning_rate': 6.563307493540052e-05, 'epoch': 204.65}
{'loss': -3.2381, 'learning_rate': 6.542635658914728e-05, 'epoch': 205.58}
{'loss': -3.243, 'learning_rate': 6.521963824289406e-05, 'epoch': 206.51}
{'loss': -3.2453, 'learning_rate': 6.501291989664083e-05, 'epoch': 207.44}
{'loss': -3.238, 'learning_rate': 6.48062015503876e-05, 'epoch': 208.37}
{'loss': -3.2495, 'learning_rate': 6.459948320413438e-05, 'epoch': 209.3}
{'loss': -3.2503, 'learning_rate': 6.439276485788113e-05, 'epoch': 210.23}
{'loss': -3.255, 'learning_rate': 6.418604651162791e-05, 'epoch': 211.16}
{'loss': -3.2526, 'learning_rate': 6.397932816537468e-05, 'epoch': 212.09}
{'loss': -3.2573, 'learning_rate': 6.377260981912145e-05, 'epoch': 213.02}
{'loss': -3.2617, 'learning_rate': 6.356589147286823e-05, 'epoch': 213.95}
{'loss': -3.2575, 'learning_rate': 6.335917312661499e-05, 'epoch': 214.88}
{'loss': -3.2528, 'learning_rate': 6.315245478036176e-05, 'epoch': 215.81}
{'loss': -3.2579, 'learning_rate': 6.294573643410852e-05, 'epoch': 216.74}
{'loss': -3.2722, 'learning_rate': 6.27390180878553e-05, 'epoch': 217.67}
{'loss': -3.259, 'learning_rate': 6.253229974160208e-05, 'epoch': 218.6}
{'loss': -3.273, 'learning_rate': 6.232558139534884e-05, 'epoch': 219.53}
{'loss': -3.2759, 'learning_rate': 6.211886304909561e-05, 'epoch': 220.47}
{'loss': -3.2818, 'learning_rate': 6.191214470284237e-05, 'epoch': 221.4}
{'loss': -3.2849, 'learning_rate': 6.170542635658915e-05, 'epoch': 222.33}
{'loss': -3.2791, 'learning_rate': 6.149870801033592e-05, 'epoch': 223.26}
{'loss': -3.2733, 'learning_rate': 6.129198966408269e-05, 'epoch': 224.19}
{'loss': -3.2852, 'learning_rate': 6.108527131782947e-05, 'epoch': 225.12}
{'loss': -3.2852, 'learning_rate': 6.087855297157623e-05, 'epoch': 226.05}
{'loss': -3.2714, 'learning_rate': 6.0671834625323e-05, 'epoch': 226.98}
{'loss': -3.2839, 'learning_rate': 6.0465116279069765e-05, 'epoch': 227.91}
{'loss': -3.296, 'learning_rate': 6.025839793281653e-05, 'epoch': 228.84}
{'loss': -3.2975, 'learning_rate': 6.005167958656331e-05, 'epoch': 229.77}
{'loss': -3.3019, 'learning_rate': 5.9844961240310085e-05, 'epoch': 230.7}
{'loss': -3.2952, 'learning_rate': 5.963824289405685e-05, 'epoch': 231.63}
{'loss': -3.2995, 'learning_rate': 5.943152454780362e-05, 'epoch': 232.56}
{'loss': -3.3048, 'learning_rate': 5.9224806201550384e-05, 'epoch': 233.49}
{'loss': -3.307, 'learning_rate': 5.901808785529716e-05, 'epoch': 234.42}
{'loss': -3.3081, 'learning_rate': 5.881136950904394e-05, 'epoch': 235.35}
{'loss': -3.3135, 'learning_rate': 5.8604651162790704e-05, 'epoch': 236.28}
{'loss': -3.3147, 'learning_rate': 5.839793281653747e-05, 'epoch': 237.21}
{'loss': -3.3113, 'learning_rate': 5.819121447028424e-05, 'epoch': 238.14}
