no change     /proj/gaia/RayDT/mamba_ray/condabin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda-env
no change     /proj/gaia/RayDT/mamba_ray/bin/activate
no change     /proj/gaia/RayDT/mamba_ray/bin/deactivate
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.sh
no change     /proj/gaia/RayDT/mamba_ray/etc/fish/conf.d/conda.fish
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/Conda.psm1
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/conda-hook.ps1
no change     /proj/gaia/RayDT/mamba_ray/lib/python3.10/site-packages/xontrib/conda.xsh
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.csh
no change     /home/x_yifji/.bashrc
No action taken.
config =  {'env_index': 1, 'Tx_id': 1, 'allTx': True, 'Rx_id': None, 'Rx1_id': None, 'Rx2_id': None, 'debug_path_flag': False, 'path_id': 6, 'add_noise': False, 'optim_load': False, 'small_batch': False, 'big_batch': False, 'debug': False, 'produce_fig': False, 'wandb': True, 'replot_baseline_only': False, 'test_seed': 42, 'eval_from': None, 'Ofunc': False, 'noise_sample': 5, 'path': None, 'data_prefix': 'allTx', 'data_postfix': '', 'gen_func': <function gen_data_sample_across_rx at 0x1503439d3010>}
========== Training config ==========
Found matching repo: allTx_HFds__noise_noise_5__20240607_030200_obj_1
========== Training Data is loaded ==========
========== Model is initialized ==========
{'loss': -3.0607, 'learning_rate': 7.894179894179895e-05, 'epoch': 144.76}
{'loss': -3.0584, 'learning_rate': 7.873015873015874e-05, 'epoch': 145.71}
{'loss': -3.0582, 'learning_rate': 7.851851851851852e-05, 'epoch': 146.67}
{'loss': -3.0762, 'learning_rate': 7.830687830687831e-05, 'epoch': 147.62}
{'loss': -3.075, 'learning_rate': 7.80952380952381e-05, 'epoch': 148.57}
{'loss': -3.0752, 'learning_rate': 7.78835978835979e-05, 'epoch': 149.52}
{'loss': -3.0803, 'learning_rate': 7.767195767195767e-05, 'epoch': 150.48}
{'loss': -3.0827, 'learning_rate': 7.746031746031747e-05, 'epoch': 151.43}
{'loss': -3.0915, 'learning_rate': 7.724867724867725e-05, 'epoch': 152.38}
{'loss': -3.0952, 'learning_rate': 7.703703703703704e-05, 'epoch': 153.33}
{'loss': -3.096, 'learning_rate': 7.682539682539684e-05, 'epoch': 154.29}
{'loss': -3.1028, 'learning_rate': 7.661375661375661e-05, 'epoch': 155.24}
{'loss': -3.1075, 'learning_rate': 7.640211640211641e-05, 'epoch': 156.19}
{'loss': -3.0946, 'learning_rate': 7.619047619047618e-05, 'epoch': 157.14}
{'loss': -3.1051, 'learning_rate': 7.597883597883598e-05, 'epoch': 158.1}
{'loss': -3.1134, 'learning_rate': 7.576719576719577e-05, 'epoch': 159.05}
{'loss': -3.1098, 'learning_rate': 7.555555555555556e-05, 'epoch': 160.0}
{'loss': -3.117, 'learning_rate': 7.534391534391536e-05, 'epoch': 160.95}
{'loss': -3.124, 'learning_rate': 7.513227513227513e-05, 'epoch': 161.9}
{'loss': -3.1282, 'learning_rate': 7.492063492063493e-05, 'epoch': 162.86}
{'loss': -3.1331, 'learning_rate': 7.470899470899471e-05, 'epoch': 163.81}
{'loss': -3.1334, 'learning_rate': 7.44973544973545e-05, 'epoch': 164.76}
{'loss': -3.1367, 'learning_rate': 7.428571428571429e-05, 'epoch': 165.71}
{'loss': -3.1445, 'learning_rate': 7.407407407407407e-05, 'epoch': 166.67}
{'loss': -3.1428, 'learning_rate': 7.386243386243387e-05, 'epoch': 167.62}
{'loss': -3.152, 'learning_rate': 7.365079365079366e-05, 'epoch': 168.57}
{'loss': -3.1528, 'learning_rate': 7.343915343915345e-05, 'epoch': 169.52}
{'loss': -3.1572, 'learning_rate': 7.322751322751323e-05, 'epoch': 170.48}
{'loss': -3.1617, 'learning_rate': 7.301587301587302e-05, 'epoch': 171.43}
{'loss': -3.1591, 'learning_rate': 7.28042328042328e-05, 'epoch': 172.38}
{'loss': -3.1619, 'learning_rate': 7.25925925925926e-05, 'epoch': 173.33}
{'loss': -3.1677, 'learning_rate': 7.238095238095238e-05, 'epoch': 174.29}
{'loss': -3.1725, 'learning_rate': 7.216931216931218e-05, 'epoch': 175.24}
{'loss': -3.178, 'learning_rate': 7.195767195767196e-05, 'epoch': 176.19}
{'loss': -3.1731, 'learning_rate': 7.174603174603175e-05, 'epoch': 177.14}
{'loss': -3.1759, 'learning_rate': 7.153439153439155e-05, 'epoch': 178.1}
{'loss': -3.1736, 'learning_rate': 7.132275132275132e-05, 'epoch': 179.05}
{'loss': -3.1835, 'learning_rate': 7.111111111111112e-05, 'epoch': 180.0}
{'loss': -3.1828, 'learning_rate': 7.089947089947089e-05, 'epoch': 180.95}
{'loss': -3.1858, 'learning_rate': 7.068783068783069e-05, 'epoch': 181.9}
{'loss': -3.1829, 'learning_rate': 7.047619047619048e-05, 'epoch': 182.86}
{'loss': -3.1895, 'learning_rate': 7.026455026455026e-05, 'epoch': 183.81}
{'loss': -3.1879, 'learning_rate': 7.005291005291006e-05, 'epoch': 184.76}
{'loss': -3.2012, 'learning_rate': 6.984126984126984e-05, 'epoch': 185.71}
{'loss': -3.2041, 'learning_rate': 6.962962962962964e-05, 'epoch': 186.67}
{'loss': -3.2087, 'learning_rate': 6.941798941798942e-05, 'epoch': 187.62}
{'loss': -3.2094, 'learning_rate': 6.920634920634921e-05, 'epoch': 188.57}
{'loss': -3.2021, 'learning_rate': 6.8994708994709e-05, 'epoch': 189.52}
{'loss': -3.2167, 'learning_rate': 6.878306878306878e-05, 'epoch': 190.48}
{'loss': -3.2158, 'learning_rate': 6.857142857142858e-05, 'epoch': 191.43}
{'loss': -3.2209, 'learning_rate': 6.835978835978837e-05, 'epoch': 192.38}
{'loss': -3.2231, 'learning_rate': 6.814814814814815e-05, 'epoch': 193.33}
{'loss': -3.2143, 'learning_rate': 6.793650793650794e-05, 'epoch': 194.29}
{'loss': -3.2337, 'learning_rate': 6.772486772486773e-05, 'epoch': 195.24}
{'loss': -3.2314, 'learning_rate': 6.751322751322751e-05, 'epoch': 196.19}
{'loss': -3.2108, 'learning_rate': 6.730158730158731e-05, 'epoch': 197.14}
{'loss': -3.2408, 'learning_rate': 6.70899470899471e-05, 'epoch': 198.1}
{'loss': -3.2363, 'learning_rate': 6.687830687830688e-05, 'epoch': 199.05}
{'loss': -3.2381, 'learning_rate': 6.666666666666667e-05, 'epoch': 200.0}
{'loss': -3.2375, 'learning_rate': 6.645502645502646e-05, 'epoch': 200.95}
{'loss': -3.2418, 'learning_rate': 6.624338624338626e-05, 'epoch': 201.9}
{'loss': -3.2456, 'learning_rate': 6.603174603174603e-05, 'epoch': 202.86}
{'loss': -3.2522, 'learning_rate': 6.582010582010583e-05, 'epoch': 203.81}
{'loss': -3.2581, 'learning_rate': 6.560846560846561e-05, 'epoch': 204.76}
{'loss': -3.2605, 'learning_rate': 6.53968253968254e-05, 'epoch': 205.71}
{'loss': -3.2617, 'learning_rate': 6.51851851851852e-05, 'epoch': 206.67}
{'loss': -3.2646, 'learning_rate': 6.497354497354497e-05, 'epoch': 207.62}
{'loss': -3.2659, 'learning_rate': 6.476190476190477e-05, 'epoch': 208.57}
{'loss': -3.27, 'learning_rate': 6.455026455026454e-05, 'epoch': 209.52}
{'loss': -3.2714, 'learning_rate': 6.433862433862434e-05, 'epoch': 210.48}
{'loss': -3.2691, 'learning_rate': 6.412698412698413e-05, 'epoch': 211.43}
{'loss': -3.2718, 'learning_rate': 6.391534391534392e-05, 'epoch': 212.38}
{'loss': -3.2756, 'learning_rate': 6.37037037037037e-05, 'epoch': 213.33}
{'loss': -3.2758, 'learning_rate': 6.349206349206349e-05, 'epoch': 214.29}
{'loss': -3.284, 'learning_rate': 6.328042328042329e-05, 'epoch': 215.24}
