no change     /proj/gaia/RayDT/mamba_ray/condabin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda-env
no change     /proj/gaia/RayDT/mamba_ray/bin/activate
no change     /proj/gaia/RayDT/mamba_ray/bin/deactivate
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.sh
no change     /proj/gaia/RayDT/mamba_ray/etc/fish/conf.d/conda.fish
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/Conda.psm1
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/conda-hook.ps1
no change     /proj/gaia/RayDT/mamba_ray/lib/python3.10/site-packages/xontrib/conda.xsh
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.csh
no change     /home/x_yifji/.bashrc
No action taken.
config =  {'env_index': 2, 'Tx_id': 1, 'allTx': True, 'Rx_id': None, 'Rx1_id': None, 'Rx2_id': None, 'debug_path_flag': False, 'path_id': 6, 'add_noise': True, 'optim_load': False, 'small_batch': False, 'big_batch': False, 'debug': False, 'produce_fig': False, 'wandb': True, 'replot_baseline_only': False, 'test_seed': 42, 'eval_from': None, 'Ofunc': False, 'noise_sample': 5, 'path': None, 'data_prefix': 'allTx', 'data_postfix': '_noise', 'gen_func': <function gen_data_sample_across_rx at 0x153447997010>}
========== Training config ==========
Found matching repo: allTx_HFds__noise_noise_5__20240607_123136_obj_2
========== Training Data is loaded ==========
========== Model is initialized ==========
{'loss': -2.7763, 'learning_rate': 6.242990654205608e-05, 'epoch': 31.21}
{'loss': -2.7763, 'learning_rate': 6.2803738317757e-05, 'epoch': 31.4}
{'loss': -2.7866, 'learning_rate': 6.317757009345795e-05, 'epoch': 31.59}
{'loss': -2.7888, 'learning_rate': 6.355140186915888e-05, 'epoch': 31.78}
{'loss': -2.7956, 'learning_rate': 6.392523364485982e-05, 'epoch': 31.96}
{'loss': -2.8003, 'learning_rate': 6.429906542056076e-05, 'epoch': 32.15}
{'loss': -2.8061, 'learning_rate': 6.467289719626168e-05, 'epoch': 32.34}
{'loss': -2.8024, 'learning_rate': 6.504672897196263e-05, 'epoch': 32.52}
{'loss': -2.8113, 'learning_rate': 6.542056074766355e-05, 'epoch': 32.71}
{'loss': -2.8191, 'learning_rate': 6.57943925233645e-05, 'epoch': 32.9}
{'loss': -2.8008, 'learning_rate': 6.616822429906543e-05, 'epoch': 33.08}
{'loss': -2.8171, 'learning_rate': 6.654205607476636e-05, 'epoch': 33.27}
{'loss': -2.8191, 'learning_rate': 6.691588785046729e-05, 'epoch': 33.46}
{'loss': -2.8259, 'learning_rate': 6.728971962616822e-05, 'epoch': 33.64}
{'loss': -2.8319, 'learning_rate': 6.766355140186916e-05, 'epoch': 33.83}
{'loss': -2.841, 'learning_rate': 6.80373831775701e-05, 'epoch': 34.02}
{'loss': -2.8447, 'learning_rate': 6.841121495327104e-05, 'epoch': 34.21}
{'loss': -2.8563, 'learning_rate': 6.878504672897197e-05, 'epoch': 34.39}
{'loss': -2.8582, 'learning_rate': 6.91588785046729e-05, 'epoch': 34.58}
{'loss': -2.8591, 'learning_rate': 6.953271028037383e-05, 'epoch': 34.77}
{'loss': -2.8512, 'learning_rate': 6.990654205607478e-05, 'epoch': 34.95}
{'loss': -2.8613, 'learning_rate': 7.02803738317757e-05, 'epoch': 35.14}
{'loss': -2.8649, 'learning_rate': 7.065420560747665e-05, 'epoch': 35.33}
{'loss': -2.8683, 'learning_rate': 7.102803738317757e-05, 'epoch': 35.51}
{'loss': -2.8788, 'learning_rate': 7.140186915887851e-05, 'epoch': 35.7}
{'loss': -2.8799, 'learning_rate': 7.177570093457943e-05, 'epoch': 35.89}
{'loss': -2.8849, 'learning_rate': 7.214953271028038e-05, 'epoch': 36.07}
{'loss': -2.8846, 'learning_rate': 7.252336448598131e-05, 'epoch': 36.26}
{'loss': -2.8956, 'learning_rate': 7.289719626168224e-05, 'epoch': 36.45}
{'loss': -2.9023, 'learning_rate': 7.327102803738318e-05, 'epoch': 36.64}
{'loss': -2.8953, 'learning_rate': 7.364485981308411e-05, 'epoch': 36.82}
{'loss': -2.9101, 'learning_rate': 7.401869158878506e-05, 'epoch': 37.01}
{'loss': -2.9122, 'learning_rate': 7.439252336448599e-05, 'epoch': 37.2}
{'loss': -2.9143, 'learning_rate': 7.476635514018692e-05, 'epoch': 37.38}
{'loss': -2.9203, 'learning_rate': 7.514018691588785e-05, 'epoch': 37.57}
{'loss': -2.9218, 'learning_rate': 7.551401869158879e-05, 'epoch': 37.76}
{'loss': -2.9266, 'learning_rate': 7.588785046728972e-05, 'epoch': 37.94}
{'loss': -2.9355, 'learning_rate': 7.626168224299067e-05, 'epoch': 38.13}
{'loss': -2.9233, 'learning_rate': 7.663551401869158e-05, 'epoch': 38.32}
{'loss': -2.9355, 'learning_rate': 7.700934579439253e-05, 'epoch': 38.5}
{'loss': -2.9469, 'learning_rate': 7.738317757009346e-05, 'epoch': 38.69}
{'loss': -2.9522, 'learning_rate': 7.77570093457944e-05, 'epoch': 38.88}
{'loss': -2.9552, 'learning_rate': 7.813084112149533e-05, 'epoch': 39.07}
{'loss': -2.9552, 'learning_rate': 7.850467289719626e-05, 'epoch': 39.25}
{'loss': -2.9631, 'learning_rate': 7.887850467289721e-05, 'epoch': 39.44}
{'loss': -2.9641, 'learning_rate': 7.925233644859813e-05, 'epoch': 39.63}
{'loss': -2.9687, 'learning_rate': 7.962616822429907e-05, 'epoch': 39.81}
{'loss': -2.9737, 'learning_rate': 8e-05, 'epoch': 40.0}
{'loss': -2.9744, 'learning_rate': 8.037383177570094e-05, 'epoch': 40.19}
{'loss': -2.9835, 'learning_rate': 8.074766355140187e-05, 'epoch': 40.37}
{'loss': -2.9813, 'learning_rate': 8.11214953271028e-05, 'epoch': 40.56}
{'loss': -2.9879, 'learning_rate': 8.149532710280374e-05, 'epoch': 40.75}
{'loss': -2.9944, 'learning_rate': 8.186915887850468e-05, 'epoch': 40.93}
{'loss': -2.9978, 'learning_rate': 8.22429906542056e-05, 'epoch': 41.12}
{'loss': -3.0037, 'learning_rate': 8.261682242990655e-05, 'epoch': 41.31}
{'loss': -3.0089, 'learning_rate': 8.299065420560748e-05, 'epoch': 41.5}
{'loss': -3.0147, 'learning_rate': 8.336448598130842e-05, 'epoch': 41.68}
{'loss': -3.0129, 'learning_rate': 8.373831775700936e-05, 'epoch': 41.87}
{'loss': -3.0141, 'learning_rate': 8.411214953271028e-05, 'epoch': 42.06}
{'loss': -3.018, 'learning_rate': 8.448598130841123e-05, 'epoch': 42.24}
{'loss': -3.0263, 'learning_rate': 8.485981308411215e-05, 'epoch': 42.43}
{'loss': -3.0141, 'learning_rate': 8.523364485981309e-05, 'epoch': 42.62}
{'loss': -3.0159, 'learning_rate': 8.560747663551403e-05, 'epoch': 42.8}
{'loss': -3.033, 'learning_rate': 8.598130841121496e-05, 'epoch': 42.99}
{'loss': -3.0357, 'learning_rate': 8.635514018691589e-05, 'epoch': 43.18}
{'loss': -3.0411, 'learning_rate': 8.672897196261682e-05, 'epoch': 43.36}
{'loss': -3.048, 'learning_rate': 8.710280373831776e-05, 'epoch': 43.55}
{'loss': -3.0458, 'learning_rate': 8.74766355140187e-05, 'epoch': 43.74}
{'loss': -3.0441, 'learning_rate': 8.785046728971964e-05, 'epoch': 43.93}
{'loss': -3.045, 'learning_rate': 8.822429906542057e-05, 'epoch': 44.11}
{'loss': -3.0557, 'learning_rate': 8.85981308411215e-05, 'epoch': 44.3}
{'loss': -3.0584, 'learning_rate': 8.897196261682243e-05, 'epoch': 44.49}
{'loss': -3.0575, 'learning_rate': 8.934579439252338e-05, 'epoch': 44.67}
{'loss': -3.0638, 'learning_rate': 8.97196261682243e-05, 'epoch': 44.86}
{'loss': -3.0687, 'learning_rate': 9.009345794392525e-05, 'epoch': 45.05}
{'loss': -3.0754, 'learning_rate': 9.046728971962616e-05, 'epoch': 45.23}
{'loss': -3.0734, 'learning_rate': 9.084112149532711e-05, 'epoch': 45.42}
{'loss': -3.0825, 'learning_rate': 9.121495327102803e-05, 'epoch': 45.61}
{'loss': -3.087, 'learning_rate': 9.158878504672898e-05, 'epoch': 45.79}
{'loss': -3.0854, 'learning_rate': 9.196261682242991e-05, 'epoch': 45.98}
{'loss': -3.0831, 'learning_rate': 9.233644859813084e-05, 'epoch': 46.17}
{'loss': -3.0985, 'learning_rate': 9.271028037383178e-05, 'epoch': 46.36}
{'loss': -3.0941, 'learning_rate': 9.308411214953271e-05, 'epoch': 46.54}
{'loss': -3.0937, 'learning_rate': 9.345794392523365e-05, 'epoch': 46.73}
{'loss': -3.0983, 'learning_rate': 9.383177570093459e-05, 'epoch': 46.92}
{'loss': -3.096, 'learning_rate': 9.420560747663552e-05, 'epoch': 47.1}
{'loss': -3.1052, 'learning_rate': 9.457943925233645e-05, 'epoch': 47.29}
{'loss': -3.1104, 'learning_rate': 9.495327102803739e-05, 'epoch': 47.48}
{'loss': -3.1169, 'learning_rate': 9.532710280373832e-05, 'epoch': 47.66}
